date,city,station,latitude,longitude,NO2,temperature_2m,humidity_2m,wind_speed_2m,wind_direction_2m,precipitation,sarimax,lstm,prophet,arima_garch
2017/1/1,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,38,18.41,84.77,3.65,75.7,0,43.59519734,44.69310669,31.56029824,41.4024656
2017/1/2,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,36,19.87,81.15,2.54,69,0,42.31115834,43.15991741,35.89207142,37.70164649
2017/1/3,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,30,19.89,82.3,3.15,82.6,0,40.39642936,41.55273735,34.21701328,37.11113395
2017/1/4,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,51,19.5,85.26,3.52,83.7,0,37.72293924,39.65655586,31.25438358,33.51320256
2017/1/5,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,38,20.18,85.72,2.14,82.5,0,39.33440292,38.5821788,35.5416578,46.53455995
2017/1/6,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,23,20.66,84.83,2.54,92.2,0.01,37.99940683,37.11630354,33.16498808,36.91037207
2017/1/7,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,43,20.52,86.76,2.41,90.2,0.01,33.94728573,35.2701792,29.3171948,29.50149111
2017/1/8,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,34,20.41,72.32,3.29,18.4,0,39.81962601,33.93290806,37.63346442,42.34232023
2017/1/9,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,26,18.89,77.09,3.74,50.8,0,39.70641736,34.17235194,34.79055518,34.9092718
2017/1/10,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,30,19.06,78.75,4.64,83.2,0.01,38.9720049,34.24317464,31.30776224,31.27211021
2017/1/11,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,38,19,79.11,4.55,72.2,0.48,37.73573592,34.19510151,30.7107986,33.94868038
2017/1/12,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,32,17.47,80.09,5.04,34.5,1.28,38.38829504,34.51770462,32.77568523,38.06729626
2017/1/13,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,36,14.37,80.2,5.17,20.5,1.08,40.25870167,35.11837944,35.00469716,33.80956927
2017/1/14,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,32,15.23,83.59,4.73,49,3.21,35.73197305,35.88094747,29.48266184,36.78794374
2017/1/15,Hong Kong,"Tai Po, HongKong",22.4509766,114.1641396,30,15.21,81.73,4.59,43.9,2.13,39.78940469,35.87049347,33.3423692,33.87378123
